analysis,encoder_a,encoder_b,queries,top10_expected_overlap,top10_deterministic_overlap,spearman,source_macro_top10,source_macro_spearman
enzyme_to_patent,morgan,substrate,639,0.11065008022754501,0.10672926447574335,0.21695333234037503,0.08088672111613465,0.16368623602018703
enzyme_to_patent,morgan,drfp,639,0.07536275088153023,0.07245696400625978,0.1317487231076536,0.07907251476460289,0.08260937262886053
enzyme_to_patent,morgan,rxnfp,639,0.034128847157016175,0.033489827856025035,0.04509775245701576,0.02279436667907654,0.038342319847364664
enzyme_to_patent,substrate,drfp,639,0.039919144496609285,0.04006259780907668,0.05342098140511578,0.03447858540690215,0.0420146962295346
enzyme_to_patent,substrate,rxnfp,639,0.007042253521126761,0.007042253521126761,0.054955704855871354,0.007988542639277932,0.05872053063323843
enzyme_to_patent,drfp,rxnfp,639,0.012676056338028171,0.012676056338028171,0.04238444559292958,0.009513715148927567,0.044845830260948585
enzyme_to_enzyme,morgan,substrate,639,0.5539507486514529,0.5546165884194053,0.440797358195423,0.5376748022639082,0.34558623558337254
enzyme_to_enzyme,morgan,drfp,639,0.6244737878188582,0.6250391236306729,0.5458959430059156,0.6101981255055967,0.4927815605035282
enzyme_to_enzyme,morgan,rxnfp,639,0.5558236573025305,0.554773082942097,0.4088530496466585,0.5537529840718957,0.4030851353581626
enzyme_to_enzyme,substrate,drfp,639,0.46206953138584606,0.46259780907668235,0.43908546663742515,0.4878713519033252,0.3696419714204441
enzyme_to_enzyme,substrate,rxnfp,639,0.42818205529473136,0.4281690140845071,0.24297567214263058,0.43105589438432274,0.21271663227032483
enzyme_to_enzyme,drfp,rxnfp,639,0.5134836798569193,0.513302034428795,0.4564981209036847,0.5155816645448915,0.42788616931609375
enzyme_cross_source,morgan,substrate,639,0.30440472469444546,0.3057902973395931,0.3792375177585739,0.28680900129838904,0.30421528702946127
enzyme_cross_source,morgan,drfp,639,0.3771434226726213,0.3785602503912363,0.4860585102366245,0.36107964707820955,0.4541586852828682
enzyme_cross_source,morgan,rxnfp,639,0.2929733800078088,0.2923317683881064,0.3379191933912939,0.2675861009273818,0.35918358507982484
enzyme_cross_source,substrate,drfp,639,0.24601851851851853,0.24616588419405322,0.37863061055733144,0.24940195717225,0.32944768784614104
enzyme_cross_source,substrate,rxnfp,639,0.1664319248826291,0.16572769953051644,0.16453995521840575,0.15114308958314437,0.16234923203626772
enzyme_cross_source,drfp,rxnfp,639,0.2485133020344288,0.2482003129890454,0.3951284125618007,0.23634419307111776,0.38821715342000795
